city,year,weekofyear,total_cases
sj,2011,32,55
sj,2011,33,63
sj,2011,34,58
sj,2011,35,84
sj,2011,36,61
sj,2011,37,41
sj,2011,38,76
sj,2011,39,83
sj,2011,40,65
sj,2011,41,65
sj,2011,42,44
sj,2011,43,47
sj,2011,44,43
sj,2011,45,43
sj,2011,46,23
sj,2011,47,23
sj,2011,48,14
sj,2011,49,17
sj,2011,50,34
sj,2011,51,15
sj,2012,52,19
sj,2012,1,12
sj,2012,2,10
sj,2012,3,12
sj,2012,4,9
sj,2012,5,9
sj,2012,6,6
sj,2012,7,12
sj,2012,8,9
sj,2012,9,9
sj,2012,10,4
sj,2012,11,3
sj,2012,12,7
sj,2012,13,5
sj,2012,14,3
sj,2012,15,6
sj,2012,16,4
sj,2012,17,6
sj,2012,18,7
sj,2012,19,7
sj,2012,20,7
sj,2012,21,14
sj,2012,22,13
sj,2012,23,17
sj,2012,24,17
sj,2012,25,17
sj,2012,26,19
sj,2012,27,24
sj,2012,28,35
sj,2012,29,31
sj,2012,30,57
sj,2012,31,33
sj,2012,32,51
sj,2012,33,39
sj,2012,34,60
sj,2012,35,54
sj,2012,36,68
sj,2012,37,68
sj,2012,38,63
sj,2012,39,63
sj,2012,40,61
sj,2012,41,92
sj,2012,42,32
sj,2012,43,51
sj,2012,44,44
sj,2012,45,43
sj,2012,46,22
sj,2012,47,31
sj,2012,48,23
sj,2012,49,14
sj,2012,50,14
sj,2012,51,24
sj,2013,1,8
sj,2013,2,11
sj,2013,3,10
sj,2013,4,9
sj,2013,5,9
sj,2013,6,7
sj,2013,7,7
sj,2013,8,10
sj,2013,9,12
sj,2013,10,11
sj,2013,11,5
sj,2013,12,3
sj,2013,13,9
sj,2013,14,9
sj,2013,15,7
sj,2013,16,6
sj,2013,17,4
iq,2010,26,5
iq,2010,27,4
iq,2010,28,7
iq,2010,29,5
iq,2010,30,2
iq,2010,31,3
iq,2010,32,4
iq,2010,33,2
iq,2010,34,2
iq,2010,35,4
iq,2010,36,9
iq,2010,37,3
iq,2010,38,12
iq,2010,39,2
iq,2010,40,6
iq,2010,41,7
iq,2010,42,12
iq,2010,43,6
iq,2010,44,5
iq,2010,45,5
iq,2010,46,15
iq,2010,47,8
iq,2010,48,6
iq,2010,49,10
iq,2010,50,18
iq,2010,51,12
iq,2011,52,5
iq,2011,1,6
iq,2011,2,7
iq,2011,3,10
iq,2011,4,8
iq,2011,5,11
iq,2011,6,10
iq,2011,7,4
iq,2011,8,13
iq,2011,9,10
iq,2011,10,15
iq,2011,11,11
iq,2011,12,6
iq,2011,13,7
iq,2011,14,1
iq,2011,15,8
iq,2011,16,6
iq,2011,17,2
iq,2011,18,8
iq,2011,19,3
iq,2011,20,4
iq,2011,21,6
iq,2011,22,3
iq,2011,23,6
iq,2011,24,6
iq,2011,25,4
iq,2011,26,5
iq,2011,27,8
iq,2011,28,2
iq,2011,29,3
iq,2011,30,5
iq,2011,31,4
iq,2011,32,10
iq,2011,33,3
iq,2011,34,2
iq,2011,35,2
iq,2011,36,4
iq,2011,37,25
iq,2011,38,17
iq,2011,39,14
iq,2011,40,12
iq,2011,41,6
iq,2011,42,25
iq,2011,43,22
iq,2011,44,9
iq,2011,45,24
iq,2011,46,5
iq,2011,47,11
iq,2011,48,6
iq,2011,49,12
iq,2011,50,14
iq,2011,51,8
iq,2012,52,7
iq,2012,1,8
iq,2012,2,2
iq,2012,3,14
iq,2012,4,11
iq,2012,5,7
iq,2012,6,8
iq,2012,7,8
iq,2012,8,13
iq,2012,9,17
iq,2012,10,14
iq,2012,11,2
iq,2012,12,3
iq,2012,13,7
iq,2012,14,9
iq,2012,15,3
iq,2012,16,6
iq,2012,17,11
iq,2012,18,3
iq,2012,19,2
iq,2012,20,2
iq,2012,21,5
iq,2012,22,3
iq,2012,23,4
iq,2012,24,3
iq,2012,25,5
iq,2012,26,9
iq,2012,27,3
iq,2012,28,6
iq,2012,29,14
iq,2012,30,2
iq,2012,31,2
iq,2012,32,2
iq,2012,33,4
iq,2012,34,7
iq,2012,35,9
iq,2012,36,2
iq,2012,37,6
iq,2012,38,4
iq,2012,39,6
iq,2012,40,5
iq,2012,41,13
iq,2012,42,26
iq,2012,43,22
iq,2012,44,7
iq,2012,45,5
iq,2012,46,7
iq,2012,47,18
iq,2012,48,5
iq,2012,49,10
iq,2012,50,2
iq,2012,51,8
iq,2013,1,16
iq,2013,2,15
iq,2013,3,15
iq,2013,4,14
iq,2013,5,7
iq,2013,6,12
iq,2013,7,10
iq,2013,8,6
iq,2013,9,16
iq,2013,10,23
iq,2013,11,12
iq,2013,12,2
iq,2013,13,9
iq,2013,14,11
iq,2013,15,4
iq,2013,16,11
iq,2013,17,4
iq,2013,18,4
iq,2013,19,3
iq,2013,20,9
iq,2013,21,6
iq,2013,22,5
iq,2013,23,4
iq,2013,24,4
iq,2013,25,3
iq,2013,26,6
